Location;Crop;Unit;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;
Korea;Wheat;Tonnes/hectare;3,024;3,096;3,366;2,711;3,705;4,439;3,919;4,044;3,485;3,670;2,545;3,105;3,227;3,051;3,329;3,206;3,343;3,813;4,064;3,707;3,117;3,348;3,910;2,585;3,260;2,623;3,707;4,032;3,185;3,195;3,203;3,211;3,218;3,226;3,233;3,241;3,248;3,255;3,262;3,269;3,277;;;
Malaysia;Wheat;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,029;1,041;1,056;1,071;1,087;1,104;1,121;1,138;1,156;1,173;;;
Mexico;Wheat;Tonnes/hectare;4,213;4,127;3,953;4,082;4,303;3,732;4,171;4,735;4,208;4,631;4,936;4,766;5,100;4,491;4,478;4,752;5,227;5,082;5,084;4,969;5,419;5,478;5,657;5,293;5,194;4,526;5,339;5,297;5,437;5,546;5,325;5,351;5,375;5,417;5,436;5,449;5,475;5,506;5,534;5,561;5,585;;;
New Zealand;Wheat;Tonnes/hectare;4,815;5,054;5,370;5,437;4,682;5,533;5,494;5,905;5,333;6,636;7,429;7,145;7,485;6,550;8,092;6,896;8,497;8,112;7,492;8,124;7,286;8,925;9,105;9,536;8,615;8,315;9,186;9,883;8,961;8,847;10,929;10,962;10,995;11,041;11,069;11,091;11,125;11,162;11,198;11,234;11,266;;;
Nigeria;Wheat;Tonnes/hectare;0,833;1,200;1,333;2,357;2,333;2,200;2,044;2,640;2,000;2,886;2,086;1,457;1,543;1,657;1,771;1,886;2,029;1,692;1,656;1,667;1,516;1,301;1,109;1,000;1,000;1,000;1,000;2,114;2,114;1,465;1,526;1,727;1,748;1,767;1,793;1,817;1,843;1,868;1,894;1,920;1,947;;;
Norway;Wheat;Tonnes/hectare;4,667;4,642;3,509;5,414;4,118;4,727;4,509;4,339;4,681;4,406;4,543;4,022;4,192;4,622;4,725;4,863;4,126;4,355;4,826;3,371;4,566;3,816;4,073;3,842;4,873;5,743;5,649;5,557;5,465;5,373;5,023;5,287;5,324;5,369;5,404;5,436;5,474;5,514;5,553;5,591;5,628;;;
OECD - Total;Wheat;Tonnes/hectare;3,216;3,204;3,132;3,169;3,112;3,182;3,313;3,291;3,511;3,492;3,285;3,156;3,014;3,121;3,504;3,420;3,172;3,065;3,563;3,480;3,574;3,616;3,535;3,841;3,790;3,890;3,979;3,968;3,741;4,014;3,875;3,882;3,917;3,945;3,970;3,993;4,022;4,051;4,086;4,119;4,151;;;
Pakistan;Wheat;Tonnes/hectare;1,825;1,841;1,991;1,947;1,894;2,081;2,019;2,053;2,238;2,170;2,491;2,325;2,262;2,388;2,373;2,586;2,519;2,716;2,451;2,657;2,553;2,833;2,714;2,796;2,824;2,726;2,779;2,973;2,851;2,787;2,869;2,939;2,963;3,009;3,055;3,100;3,151;3,199;3,248;3,297;3,346;;;
Paraguay;Wheat;Tonnes/hectare;1,660;1,792;2,214;2,149;1,215;2,457;1,786;1,139;0,957;1,469;1,384;1,835;1,727;2,466;2,462;1,699;2,500;2,100;2,100;2,499;2,507;2,600;2,600;1,500;1,898;2,200;2,000;1,680;2,800;2,710;2,660;2,666;2,673;2,682;2,689;2,693;2,699;2,707;2,714;2,721;2,728;;;
Peru;Wheat;Tonnes/hectare;1,073;0,853;1,343;1,482;1,245;1,263;1,248;1,117;1,159;1,288;1,279;1,247;3,202;4,000;1,383;1,348;1,336;1,259;1,349;1,430;1,418;1,472;1,488;1,496;1,553;1,568;1,345;1,506;1,542;1,593;1,436;1,568;1,588;1,612;1,637;1,661;1,688;1,715;1,742;1,769;1,796;;;
Philippines;Wheat;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,000;1,026;1,038;1,053;1,069;1,085;1,102;1,119;1,136;1,153;1,170;;;
Russia;Wheat;Tonnes/hectare;2,046;1,680;1,901;1,766;1,448;1,260;1,355;1,698;1,034;1,346;1,485;1,978;1,973;1,538;1,893;1,879;1,904;2,025;2,394;2,148;1,561;2,202;1,529;2,079;2,364;2,304;2,647;3,080;2,646;2,650;2,821;2,786;2,810;2,839;2,862;2,885;2,910;2,936;2,961;2,987;3,011;;;
Saudi Arabia;Wheat;Tonnes/hectare;4,643;4,503;4,463;4,490;4,546;4,466;4,380;4,454;4,504;4,254;4,265;4,910;4,882;4,882;5,308;5,415;5,620;5,684;6,092;5,878;6,146;6,141;5,925;6,434;5,880;5,000;5,000;5,000;6,534;1,818;5,051;4,042;4,090;4,148;4,212;4,273;4,341;4,408;4,475;4,543;4,610;;;
South Africa;Wheat;Tonnes/hectare;1,093;1,492;1,765;1,846;1,756;1,451;2,096;1,758;2,529;2,403;2,843;2,611;2,591;2,068;2,024;2,367;2,752;3,014;2,904;3,059;2,574;3,329;3,677;3,717;3,691;3,005;3,757;3,040;3,711;2,843;4,213;3,679;3,720;3,777;3,830;3,882;3,937;3,992;4,048;4,105;4,164;;;
Switzerland;Wheat;Tonnes/hectare;5,630;6,143;5,629;6,093;5,670;6,186;6,723;6,092;6,194;5,271;5,963;5,533;5,691;5,074;6,162;5,788;5,855;6,039;6,072;6,107;5,839;6,558;5,991;5,558;6,572;6,356;4,571;6,405;5,962;5,677;5,448;6,037;6,057;6,086;6,104;6,119;6,141;6,165;6,188;6,211;6,232;;;
Thailand;Wheat;Tonnes/hectare;1,000;1,000;1,000;1,000;1,000;1,000;0,646;0,702;0,689;0,750;0,800;0,800;0,800;0,800;0,800;0,800;1,000;1,000;1,000;1,000;1,000;1,000;1,000;2,000;1,000;1,000;1,000;1,300;1,300;1,000;1,000;1,122;1,136;1,153;1,170;1,188;1,207;1,226;1,245;1,264;1,283;;;
Türkiye;Wheat;Tonnes/hectare;2,123;2,127;2,039;2,163;1,787;1,917;1,980;1,997;2,234;2,081;2,235;2,033;2,097;2,088;2,258;2,324;2,357;2,128;2,198;2,543;2,428;2,693;2,669;2,837;2,399;2,873;2,685;2,774;2,576;2,458;2,646;2,663;2,697;2,729;2,765;2,801;2,842;2,883;2,924;2,966;3,008;;;
